NAME,abbreviation,population_estimate2019,population_rank2019
United States,US,328239523,X
Northeast Region,NER,55982803,4
Midwest Region,MWR,68329004,3
South Region,SR,125580448,1
West Region,WR,78347268,2
Alabama,AL,4903185,24
Alaska,AK,731545,48
Arizona,AZ,7278717,14
Arkansas,AR,3017804,33
California,CA,39512223,1
Colorado,CO,5758736,21
Connecticut,CT,3565287,29
Delaware,DE,973764,45
District of Columbia,DC,705749,49
Florida,FL,21477737,3
Georgia,GA,10617423,8
Hawaii,HI,1415872,40
Idaho,ID,1787065,39
Illinois,IL,12671821,6
Indiana,IN,6732219,17
Iowa,IA,3155070,31
Kansas,KS,2913314,35
Kentucky,KY,4467673,26
Louisiana,LA,4648794,25
Maine,ME,1344212,42
Maryland,MD,6045680,19
Massachusetts,MA,6892503,15
Michigan,MI,9986857,10
Minnesota,MN,5639632,22
Mississippi,MS,2976149,34
Missouri,MO,6137428,18
Montana,MT,1068778,43
Nebraska,NE,1934408,37
Nevada,NV,3080156,32
New Hampshire,NH,1359711,41
New Jersey,NJ,8882190,11
New Mexico,NM,2096829,36
New York,NY,19453561,4
North Carolina,NC,10488084,9
North Dakota,ND,762062,47
Ohio,OH,11689100,7
Oklahoma,OK,3956971,28
Oregon,OR,4217737,27
Pennsylvania,PA,12801989,5
Rhode Island,RI,1059361,44
South Carolina,SC,5148714,23
South Dakota,SD,884659,46
Tennessee,TN,6829174,16
Texas,TX,28995881,2
Utah,UT,3205958,30
Vermont,VT,623989,50
Virginia,VA,8535519,12
Washington,WA,7614893,13
West Virginia,WV,1792147,38
Wisconsin,WI,5822434,20
Wyoming,WY,578759,51
